antecedent,consequent,confidence,lift,support
"love, good","",0.7148986731797479,1.0783133369712117,0.02762219569675267
"make, like","",0.7678920883421861,1.1582456525358007,0.028022628265948438
wont,"",0.7345750873108265,1.1079921440208036,0.020921964108999276
"really, flavor","",0.7306136210384356,1.1020168889591584,0.022107958661075913
"flavor, one","",0.7560960553120563,1.1404531733818442,0.031238841449106807
found,"",0.7392137129500373,1.114988788551881,0.058075475162978604
"flavor, product","",0.7429704397981255,1.1206552260704086,0.021026535671655494
"also, great","",0.7430249632892805,1.1207374662673713,0.023230190065191444
coffee,"",0.6723385689354275,1.0141180464338677,0.0707464879258103
added,"",0.753537524628336,1.1365940282151108,0.02146012507779104
"even, taste","",0.758268992469736,1.1437307107524264,0.02028943368122507
makes,"",0.7204240015142911,1.0866474344563597,0.03882920658239729
cant,"",0.7176394011716207,1.0824472984087143,0.04218059763923321
"dont, br",like,0.5714481717774577,2.082394889981862,0.021245880900641712
"one, taste",like,0.5096900221045597,1.8573441125971704,0.02528846448137606
"buy, good","",0.7273775216138328,1.09713573684596,0.02253134596353768
"even, like","",0.773902422474045,1.1673113057495774,0.029088748099858192
"best, one","",0.7362730910019579,1.1105533182054323,0.02205949866862547
still,"",0.7564585115483319,1.1409998821789187,0.04510860139360736
"coffee, good","",0.6945749679624093,1.047658192102846,0.020735775716952835
"ive, tried","",0.7310237088770447,1.1026354426119929,0.02028943368122507
enjoy,"",0.7126200274348422,1.074876354655892,0.029149960721900858
excellent,"",0.6958623631451728,1.0496000272853787,0.024964547689733625
year,"",0.8304932735426009,1.2526697932487316,0.02597965700527449
tried,"",0.7194341854346199,1.0851544510170272,0.0760158744733164
doesnt,"",0.7278768233387358,1.0978888557554425,0.034363235699201175
"better, much","",0.746066842418573,1.1253256673056824,0.022375763882512573
several,"",0.7567590120160214,1.1414531403457502,0.02313071955437211
hot,"",0.7077029680101629,1.0674597361122753,0.03125924565645436
strong,"",0.6967299208738884,1.050908603038227,0.025377732888521614
"little, taste","",0.7436033174519145,1.1216098234705079,0.021495832440649263
shipping,"",0.7694946751483096,1.160662905206044,0.02745896203797223
"tried, br","",0.8063908002639268,1.2163149651235272,0.0218197492322917
need,"",0.744130358602967,1.1224047829852384,0.032496250726899885
thought,"",0.7345390544395217,1.107937794044849,0.03086901519093237
know,"",0.7451347138721888,1.1239196965282194,0.04267539966741142
pretty,"",0.7203554011624023,1.0865439615067825,0.027502320978585786
box,"",0.7827997215938751,1.1807314961400033,0.045896713902406676
come,"",0.7412668632180828,1.11808564605057,0.021161713545333048
"first, br","",0.8268590455049944,1.2471881261124431,0.022801701710892786
"love, product","",0.724143820992399,1.0922582029538423,0.021625909262489924
"ive, br","",0.8143808255659121,1.228366674224548,0.023398524775808772
drink,"",0.7194340039796595,1.0851541773204725,0.04149705669309012
"well, one","",0.797970126388357,1.2036136897023193,0.02125608300431549
"product, taste","",0.7260726072607261,1.0951674767227433,0.028055785102888215
different,"",0.7412951513179303,1.1181283142446616,0.03486058825329783
healthy,"",0.7185087666806296,1.083758600916659,0.03062416470276171
"even, br","",0.8252043010752688,1.244692201788069,0.024467195135636968
hard,"",0.7113736391012278,1.072996371920431,0.031330660382170805
treat,"",0.7302409737642899,1.1014548085682268,0.022646119629867678
loves,"",0.7094003153373566,1.0700199202741016,0.03327926218386231
since,"",0.7663911626798061,1.155981739871999,0.04919199338903682
tasting,"",0.6772101850387474,1.0214661208028528,0.021842703965557698
texture,"",0.7094993483094381,1.0701692960928038,0.023602566849284322
"dont, br","",0.8158743225629416,1.2306193819033304,0.03033340474805905
"buy, one","",0.7809231359754342,1.177900958923683,0.02075617992430039
loved,"",0.6863934028619937,1.035317575039121,0.021653965047592812
dogs,"",0.7334056037358239,1.1062281601394444,0.02243187545271835
"flavor, taste",like,0.5315268368942158,1.936918908313148,0.023413827931319436
say,"",0.7309043250327654,1.102455370671262,0.03555943235495159
"taste, like","",0.7099417914337841,1.0708366526563733,0.06252614289066405
another,"",0.772476423332169,1.1651604080757085,0.02820371560615799
